bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weigth,wifi
,Bạc (Silver),"Intel Core i5 (2.0Ghz, 6MB cache) Gen 10th",720p HD,Intel Iris Plus Graphics,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mwp82,Macbook Pro 13 Touchbar 2020,Mac OS,,"USB Type C, 4* Thunder Bolt 3",53.989.000,,,,16GB LPDDR4X 3733Mhz,,13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,TouchID,1.4 kg,Wifi 802.11ac - Bluetooth 5.0
,Xám (Space Grey),"Intel Core i5 (2.0Ghz, 6MB cache) Gen 10th",720p HD,Intel Iris Plus Graphics,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mwp42,Macbook Pro 13 Touchbar 2020,Mac OS,,"USB Type C, 4* Thunder Bolt 3",45.989.000,,,,16GB LPDDR4X 3733Mhz,,13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,TouchID,1.4 kg,Wifi 802.11ac - Bluetooth 5.0
,Bạc (Silver) – Nhôm nguyên khối,"Intel Core i5 (2.4Ghz, 6MB cache)",720p HD,Intel Iris Plus 655,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mv992-i5-24ghz8gb-ram256gb-ssd133mac-osbac-2019,Macbook Pro 13 Touchbar 2019,Mac OS,,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,40.499.000,,,,8GB LPDDR3,,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",, ,,TouchID,1.37 kg,Wifi 802.11ac - Bluetooth 5.0
,Xám (Space Grey) – Nhôm nguyên khối,"Intel Core i5 (2.4Ghz, 6MB cache)",720p HD,Intel Iris Plus 655,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mv962-i5-24ghz8gb-ram256gb-ssd133mac-osxam-2019,Macbook Pro 13 Touchbar 2019,Mac OS,,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,40.499.000,,,,8GB LPDDR3,,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",, ,,TouchID,1.37 kg,Wifi 802.11ac - Bluetooth 5.0
,Xám (Space Grey),"Intel Core i5 (1.1Ghz, 6MB cache)",720p HD,Intel Iris Plus Graphics,https://www.hanoicomputer.vn//apple-macbook-air-13-mvh22,Macbook Air 13 2020,Mac OS,,"USB Type C, 2* Thunder Bolt 3",31.489.000,,,,8GB LPDDR4,,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,TouchID,1.29 kg,Wifi 802.11ac - Bluetooth 5.0
,Vàng (Gold),"Intel Core i5 (1.1Ghz, 6MB cache)",720p HD,Intel Iris Plus Graphics,https://www.hanoicomputer.vn//apple-macbook-air-13-mvh52,Macbook Air 13 2020,Mac OS,,"USB Type C, 2* Thunder Bolt 3",31.489.000,,,,8GB LPDDR4,,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,TouchID,1.29 kg,Wifi 802.11ac - Bluetooth 5.0
,Vàng (Gold),·          ,720p HD,Apple GPU 8 core,https://www.hanoicomputer.vn//apple-macbook-air-13-mgne3sa-a-vang-new,Apple Macbook Air 13 (MGNE3SA/A) (Apple M1/8GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Vàng) (NEW),Mac OS,,"USB 3.1 Gen2, 2* Thunder Bolt 3",31.589.000,,,,8GB,,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,Backlit Magic Keyboard; TouchID,1.29 kg,Wifi 802.11ac - Bluetooth 5.0
,Vàng (Gold),·          ,720p HD,Apple GPU 7 core,https://www.hanoicomputer.vn//apple-macbook-air-13-mgnd3sa-a-vang-new,Apple Macbook Air 13 (MGND3SA/A) (Apple M1/8GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Vàng) (NEW),Mac OS,,"USB 3.1 Gen2, 2* Thunder Bolt 3",25.789.000,,,,8GB,,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,Backlit Magic Keyboard; TouchID,1.29 kg,Wifi 802.11ac - Bluetooth 5.0
,Bạc (Silver),·          ,720p HD,Apple GPU 8 core,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-myda2sa-a-bac-new,Apple Macbook Pro 13 Touchbar (MYDA2SA/A) (Apple M1/8GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Bạc) (NEW),Mac OS,,"USB 3.1 Gen2, 2* Thunder Bolt 3",31.989.000,,,,8GB,,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,Backlit Magic Keyboard; TouchID,1.4 kg,Wifi 802.11ac - Bluetooth 5.0
,Bạc (Silver),"Intel Core i5 (1.4Ghz, 6MB cache)",720p HD,Intel Iris Plus Graphics,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mxk62,Macbook Pro 13 Touchbar 2020,Mac OS,,"USB Type C, 2* Thunder Bolt 3",32.989.000,,,,8GB LPDDR3,,13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,TouchID,1.4 kg,Wifi 802.11ac - Bluetooth 5.0
,Xám (Space Grey),"Intel Core i5 (1.4Ghz, 6MB cache)",720p HD,Intel Iris Plus Graphics,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mxk52,Macbook Pro 13 Touchbar 2020,Mac OS,,"USB Type C, 2* Thunder Bolt 3",37.689.000,,,,8GB LPDDR3,,13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,TouchID,1.4 kg,Wifi 802.11ac - Bluetooth 5.0
,Xám (Space Grey),·          ,720p HD,Apple GPU with 8-core,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-z11bsa-a-xam,Apple Macbook Pro 13 Touchbar (Z11B000CT) (Apple M1/16GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Xám) ,Mac OS,,"USB 3.1 Gen2, 2* Thunder Bolt 3",38.599.000,,,,16GB,,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,Backlit Magic Keyboard; TouchID,1.4 kg,Wifi 802.11ac - Bluetooth 5.0
,Bạc (Silver),·          ,720p HD,Apple GPU 7 core ,https://www.hanoicomputer.vn//apple-macbook-air-13-mgn93sa-a-bac-new,Apple Macbook Air 13 (MGN93SA/A) (Apple M1/8GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Bạc) (NEW),Mac OS,,"USB 3.1 Gen2, 2* Thunder Bolt 3",25.789.000,,,,8GB,,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,, ,,Backlit Magic Keyboard; TouchID,1.29 kg,Wifi 802.11ac - Bluetooth 5.0
